מדד,Latitude,Longitude,Number of Records,אזור,אחוזי תלמידים העונים על הבדיקה,כיתה,מדד נבחר,מחוז,נפה,שנה,תאור מדד נבחר
FALSE,,,1,אשדוד,0.22,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אשקלון,0.27,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,באר טוביה,0.24,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,חוף אשקלון,0.24,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,יואב,0.12,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,לכיש,0.22,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,קרית גת,0.21,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,קרית מלאכי,0.22,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,שדרות,0.32,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,שער הנגב,0.23,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,שפיר,0.19,כיתה א,השמנה ועודף משקל,דרום,אשקלון,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אבו ג'ווייעד (שבט),0.05,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אופקים,0.16,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אילת,0.27,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אל קסום,0.07,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אעצם (שבט),0.07,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,אשכול,0.17,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,באר שבע,0.26,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,בני שמעון,0.2,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,דימונה,0.22,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,הערבה התיכונה,0.22,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,חבל אילות,0.13,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,חורה,0.11,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,ירוחם,0.13,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
FALSE,,,1,כסיפה,0.1,כיתה א,השמנה ועודף משקל,דרום,באר שבע,"תשע""ד",השמנה ועודף משקל מ.מ.ג מעל אחוזון 85
