s,Hebrew name locality,Obesity percentage,Grade,district,County,year,Description of a selected index
Ashdod,אשדוד,0.1,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Ashkelon,אשקלון,0.12,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Be'er Tuvya,באר טוביה,0.1,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Hof Ashkelon,חוף אשקלון,0.11,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Yoav,יואב,0.05,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Lahish,לכיש,0.06,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Kiryat Gat,קרית גת,0.11,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Kiryat Mal'ahi,קרית מלאכי,0.11,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Sderot,שדרות,0.17,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Sha'ar Hanegev,שער הנגב,0.13,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Shafir,שפיר,0.07,Grade 1,South,Ashkelon,2014,Obesity BMI above the 97th percentile
Ofakim,אופקים,0.09,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Eilat,אילת,0.12,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
al Kasum,אל קסום,0.02,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Eshkol,אשכול,0.07,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Be'er Sheva,באר שבע,0.13,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Bnei Shim'on,בני שמעון,0.09,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Dimona,דימונה,0.11,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Ha'arava Hatihona,הערבה התיכונה,0.11,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Hevel Eielot,חבל אילות,0.04,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Hura,חורה,0.02,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Yeroham,ירוחם,0.07,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Kseyfe,כסיפה,0.03,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Lehavim,להבים,0.1,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Lakiye,לקיה,0.02,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
Meitar,מיתר,0.13,Grade 1,South,B`eer Sheva,2014,Obesity BMI above the 97th percentile
