OBJECTID *,SOURCE_ID,HebrewName,EnglishLocalityName,Obesity_pe,AVERAGE NUMBER OF DAYS ABOURD,AVERAGE VEHICLE LICENCE FEE,RATE OF MOTORIZATION,AVERAGE MONTHLY INCOME PER CAPITA,PERCENT OF RECIPIENTS OF INCOME SUPPORT AND INCOME SUPPLEMENT TO OLD-AGE PENSION,PERCENT OF WAGE AND INCOME EARNERS - BELOW THE MINIMUM WAGE,PERCENT OF WAGE AND INCOME EARNERS - ABOVE TWICE THE AVERAGE WAGE,PERCENT OF WOMEN AGED 25-54 WITH NO INCOME FROM WORK,"PERCENT OF WAGE AND INCOME EARNERS, OF AGED 15 AND OVER","PERCENT OF ACADEMIC DEGREE HOLDERS, OF AGED 25-54","AVERAGE YEARS OF SCHOOLING, OF AGED 25-54",PERCENT OF FAMILES WITH 4 OR MORE CHILDREN,DEPENDENCY RATIO,MEDIAN AGE,SOCIO-ECONOMIC INDEX 2015
1,0,עמק יזרעאל,EMEQ YIZRE'EL,0.08,1.01,0.5,0.94,1.12,1.07,0.92,1.35,0.73,0.91,1.66,1.37,0.57,0.15,0.23,8
3,2,זבולון,Zevulun,0.08,0.51,0.2,0.01,0.16,0.35,-0.02,0.67,-0.25,-0.76,0.58,0.12,0.21,0.11,-0.1,6
4,3,מגידו,MEGIDDO,0.02,0.78,0.01,-0.08,0.26,1.08,0.93,0.84,0.02,-1.19,1.1,0.89,0.84,0,1.06,7
13,14,אבו סנאן,ABU SINAN,0.11,-0.76,-0.59,-0.26,-0.76,-0.71,-0.9,-0.79,-1.12,-0.87,-0.89,-0.98,0.29,0.49,-0.27,3
20,21,אכסאל,Iksal,0.06,-0.82,0.19,-0.25,-0.79,-0.48,-0.66,-0.63,-1.61,-0.92,-0.68,-0.65,-0.18,0.02,-0.77,3
21,22,אל-בטוף,AL-BATOF,0.07,-1.03,-0.54,-0.81,-1.11,-1.08,-1.3,-1.05,-1.75,-1.39,-1.13,-1.57,-0.73,-0.29,-1.1,2
24,26,אעבלין,I'BILLIN,0.13,-0.69,-0.51,-0.18,-0.83,-0.93,-0.66,-0.88,-1.02,-0.73,-0.83,-1.15,0.14,0.35,-0.44,3
31,33,בוסתן-אל-מרג',BUSTAN EL-MARJ,0.07,-0.9,-0.49,-0.56,-0.78,-0.86,-0.28,-0.92,-1.46,-0.89,-0.92,-1.12,-0.71,0.08,-0.6,2
32,34,בועיינה-נוג'ידאת,BU'EINE-NUJEIDAT,0.06,-0.91,-0.05,-0.74,-1.05,-0.85,-1.73,-0.88,-1.51,-0.95,-0.92,-1.22,-0.32,-0.06,-0.93,2
34,36,ביר אל-מכסור,BIR EL-MAKSUR,0.04,-0.98,-1.27,-0.51,-1.06,-0.79,-1.3,-1.1,-1.54,-1.23,-1.3,-1.51,-0.38,0.04,-0.77,2
42,45,בסמת טבעון,BASMAT TAB'UN,0.07,-0.9,-0.65,-0.41,-0.93,-0.08,-0.74,-1.05,-0.94,-0.68,-1.25,-1.33,-0.23,0.15,-0.6,2
43,46,בענה,BI'NE,0.11,-0.92,-0.71,-0.51,-1.12,-1.07,-1.91,-1.04,-1.03,-1.15,-1.07,-1.15,-0.47,-0.01,-0.77,2
46,49,ג'דיידה-מכר,JUDEIDE-MAKER,0.13,-0.85,-1.09,-0.53,-0.91,-1.34,-1.21,-0.96,-1.04,-0.84,-1.03,-1.12,0.19,0.2,-0.6,2
47,50,ג'ולס,Julis,0.1,-0.7,-0.45,0.1,-0.52,0.13,-0.79,-0.54,-0.76,-0.8,-0.65,-0.46,0.85,1.01,-0.1,4
59,62,דאלית אל-כרמל,DALIYAT AL-KARMEL,0.14,-0.72,0.12,0.3,-0.5,0.12,-0.38,-0.62,-0.64,-0.62,-0.96,-0.66,0.99,1.08,0.23,4
60,63,דבוריה,DABURIYYA,0.11,-0.67,0.06,-0.36,-0.76,-0.34,-0.24,-0.72,-1.03,-1,-0.52,-0.29,-0.04,-0.04,-0.6,3
61,64,דייר אל-אסד,DEIR AL-ASAD,0.02,-0.85,-0.01,-0.52,-0.89,-0.22,-0.75,-0.75,-0.85,-0.97,-0.68,-0.75,-0.5,-0.05,-0.77,3
62,65,דייר חנא,DEIR HANNA+A5,0.07,-0.74,-0.67,-0.37,-0.79,-1.5,-1.1,-0.85,-0.9,-0.78,-0.71,-0.75,0.43,0.41,-0.44,3
64,67,הגלבוע,Hagilbo'a,0.1,-0.22,-0.05,0.11,-0.15,0.37,0.41,-0.06,-0.25,-0.17,-0.12,-0.03,0.19,-0.15,-0.1,5
66,69,הגליל התחתון,Hagalil Hatahton,0.04,0.17,0.65,0.47,0.29,1.05,0.28,0.48,0.75,0.8,0.98,1.08,-0.13,-0.26,-0.44,7
72,75,זרזיר,Zarzir,0.07,-1.05,-1.07,-0.5,-1.09,-0.05,-1.03,-1.13,-1.27,-1.07,-1.25,-1.29,-0.51,-0.16,-0.93,2
79,82,חוף הכרמל,HOF HAKARMEL,0.08,1.55,1.59,1.04,0.89,0.95,0.76,1.13,0.33,0.14,1.07,0.91,0.78,0.22,0.73,8
83,86,חיפה,Haifa,0.1,0.69,0.2,0.12,0.63,-0.98,0.42,0.52,0.56,-0.34,0.66,0.17,0.8,0.47,1.56,7
85,89,טבריה,TIBERIAS,0.12,-0.56,-0.19,-0.64,-0.47,-0.85,-0.73,-0.82,0.44,-0.19,-0.95,-0.61,0.23,0.4,0.56,4
87,91,טורעאן,Tur'an,0.09,-0.87,0.64,-0.56,-0.89,-0.53,-0.85,-0.8,-1.52,-0.93,-0.65,-0.7,-0.4,-0.07,-0.77,3
90,94,טירת כרמל,Tirat Karmel,0.15,-0.44,-0.54,-0.47,-0.11,-0.95,0.14,-0.54,0.53,-0.13,-0.93,-0.64,0.87,0.93,1.23,5
91,95,טמרה,Tamra,0.08,-0.89,-0.98,-0.3,-1,-1.41,-1.26,-1.02,-1.12,-1.01,-0.92,-0.92,0.04,0.21,-0.6,2
93,97,יבנאל,Yavne'el,0.06,-0.28,-0.09,-0.57,-0.84,-0.3,-1.59,-0.58,-0.19,-0.23,-0.8,-0.25,-1.49,-1.05,-0.93,3
97,102,יפיע,YAFI,0.11,-0.81,-0.18,-0.27,-0.88,-0.54,-0.75,-0.91,-1.52,-0.88,-0.92,-0.68,-0.06,0.24,-0.6,3
98,103,יקנעם עילית,YOQNE'AM ILLIT,0.09,0.31,-0.15,0.36,0.78,-0.08,1.18,0.88,0.87,0.89,0.76,0.69,0.88,0.4,0.73,7
100,105,ירכא,Yirka,0.07,-1.01,-0.11,-0.24,-0.87,0.11,-0.79,-0.81,-1.33,-1.41,-1.03,-0.85,0.16,0.32,-0.6,3
101,106,כאבול,Kabul,0.11,-0.88,-0.95,-0.41,-0.95,-1.46,-1.07,-0.88,-1.37,-1.14,-0.61,-0.72,0.01,0.15,-0.77,2
102,107,כאוכב אבו אל-היג'א,KAOKAB ABU AL-HIJA,0.05,-0.74,-0.84,-0.09,-0.67,-2.06,-0.34,-0.79,-0.41,-0.5,-0.16,-0.19,-0.11,0.15,-0.44,3
106,111,כעביה-טבאש-חג'אג'רה,KA'ABIYYE-TABBASH-HAJAJRE,0.07,-1.07,-0.95,-0.41,-0.98,-0.1,-0.82,-1.08,-0.78,-0.55,-1.02,-1.13,-0.87,-0.18,-0.93,2
109,114,כפר יאסיף,KAFAR YASIF,0.11,-0.32,-0.02,0.35,-0.47,-0.44,-0.56,-0.62,-0.33,-0.34,-0.2,-0.2,0.66,0.89,0.23,5
111,116,כפר כמא,KAFAR KAMA,0.12,-0.31,-1.06,0.36,-0.16,0.24,0.3,-0.43,0.24,-0.22,-0.37,0.1,0.84,0.93,0.56,5
112,117,כפר כנא,KAFAR KANNA,0.09,-0.78,0,-0.45,-1.08,-1.26,-1.59,-0.91,-1.55,-1.19,-0.88,-0.82,-0.59,-0.31,-0.93,2
113,118,כפר מנדא,KAFAR MANDA,0.08,-0.97,-0.25,-0.9,-1.22,-0.97,-1.86,-1.03,-2.01,-1.4,-1.1,-1.09,-0.43,-0.5,-1.1,2
117,123,כפר תבור,Kefar Tavor,0.08,0.92,1.19,1.36,1.35,1.09,1.09,1.46,0.74,1.21,1.57,1.45,0.63,0.52,0.56,8
118,124,כרמיאל,KARMI'EL,0.12,0.26,-0.34,-0.26,0.2,-1.79,0.34,-0.15,0.75,0.18,0.12,0.11,0.8,0.65,1.56,6
125,181,מג'ד אל-כרום,MAJD AL-KURUM,0.11,-0.82,-0.73,-0.56,-0.95,-0.36,-1.02,-1.01,-0.91,-0.46,-1.11,-0.97,-0.2,0.02,-0.77,2
127,184,מגדל העמק,MIGDAL HAEMEQ,0.13,-0.29,-0.81,-0.66,-0.3,-1.16,-0.06,-0.68,0.62,-0.19,-0.61,-0.43,0.46,0.3,0.73,4
130,188,מזרעה,Mazra'a,0.16,-0.68,-0.38,-0.13,-0.52,-0.57,-0.64,-0.9,-0.56,0.05,-0.99,-0.84,0.71,1.35,-0.1,4
131,189,מטה אשר,MATTE ASHER,0.1,0.43,-0.16,0.41,0.33,0.76,0.67,0.59,0.4,0.02,0.59,0.52,0.67,0.14,0.73,7
140,200,משגב,Misgav,0.08,0.74,-0.18,0.57,0.75,0.66,0.53,1.26,0.31,0.81,1.42,0.96,0.22,0.27,-0.6,7
141,201,משהד,MESHHED,0.13,-1.02,1.54,-0.84,-1.06,-0.34,-0.99,-0.92,-1.9,-1.46,-0.98,-0.85,-1.07,-0.19,-0.93,2
143,203,נצרת עילית,NAZERAT ILLIT,0.13,0.09,0.01,-0.36,-0.07,-3.05,0.3,-0.63,0.57,-0.36,-0.17,-0.34,0.95,0.61,1.89,5
145,205,נחף,Nahef,0.11,-1.09,-1.36,-0.83,-1.07,-0.36,-1.49,-0.98,-1.32,-0.98,-0.83,-0.92,-0.92,-0.3,-0.93,2
147,207,נצרת,NAZARETH,0.11,-0.52,0.35,-0.15,-0.66,-0.93,-0.56,-0.72,-1.15,-0.91,-0.67,-0.53,0.14,0.39,-0.27,3
148,208,נשר,Nesher,0.15,0.5,-0.34,0.51,0.73,-0.96,0.8,0.36,0.84,0.5,0.38,0.4,1.16,1.06,1.39,7
150,210,סאג'ור,Sajur,0.05,-1.04,-0.54,-0.49,-0.74,0.41,-0.9,-0.78,-0.65,-0.64,-0.77,-0.81,0.64,0.81,-0.44,3
152,212,סח'נין,SAKHNIN,0.12,-0.72,-0.55,-0.07,-0.85,-1.65,-0.97,-0.76,-1.15,-0.89,-0.47,-0.38,0.27,0.24,-0.6,3
154,214,עספיא,ISIFYA,0.1,-0.7,-0.24,0.13,-0.43,0.07,-0.45,-0.49,-0.62,-0.79,-0.91,-0.55,0.8,0.96,0.39,4
155,215,עיילבון,EILABUN,0.18,-0.44,0.06,0.24,-0.27,-0.42,-0.24,-0.51,-0.02,0.05,-0.19,-0.19,0.56,0.6,0.06,5
156,216,עילוט,Ilut,0.04,-0.91,1.73,-0.76,-1.08,-0.64,-0.98,-0.89,-2.73,-1.51,-1.45,-1.7,-0.69,-0.17,-1.1,2
157,219,עכו,AKKO,0.15,-0.4,-0.57,-0.65,-0.33,-2.13,-0.22,-0.68,0.07,-0.48,-0.71,-0.63,0.68,0.67,0.73,4
158,220,עמק הירדן,EMEQ HAYARDEN,0.07,0.52,-0.03,0.13,-0.04,0.93,0.13,-0.12,0.4,-0.41,0.29,0.39,0.89,0.42,1.06,6
160,222,עראבה,ARRABE,0.12,-0.69,-0.38,-0.42,-1,-1.27,-1.16,-0.76,-1.29,-1.34,-0.4,-0.55,-0.49,-0.4,-0.93,2
163,225,פוריידיס,FUREIDIS,0.13,-1,-1.27,-0.74,-0.92,-0.06,-0.89,-1.06,-1.01,-0.32,-1.22,-1.35,0.04,0.23,-0.6,2
165,227,פקיעין (בוקייעה),PEQI'IN (BUQEI'A),0.16,-0.71,-0.35,0.26,-0.41,0.19,-0.22,-0.54,-0.29,-0.46,-0.37,-0.21,0.86,1.01,0.23,5
173,235,קרית ביאליק,QIRYAT BIALIK,0.1,0.25,-0.09,0.19,0.47,-0.71,0.79,0.16,0.82,0,0.06,0.04,1.04,0.59,1.72,7
174,236,קרית טבעון,QIRYAT TIV'ON,0.08,1.21,0.35,1.34,1.31,0.65,0.76,1.42,0.69,0.12,1.56,1.34,0.96,0.07,1.72,8
175,237,קרית ים,QIRYAT YAM,0.19,-0.03,-0.59,-0.51,0,-2.18,0.16,-0.48,0.52,-0.43,-0.5,-0.69,1.04,0.74,2.06,5
183,246,ריינה,REINE,0.1,-0.85,0.75,-0.4,-0.96,-0.5,-0.94,-0.88,-1.71,-1.2,-1.11,-0.91,-0.11,0.25,-0.6,2
184,247,רכסים,REKHASIM,0.05,-1,-1.25,-2.03,-1.32,0.55,-1.88,-0.96,0.36,-0.89,-1.28,0.09,-2.2,-2.01,-1.76,2
188,251,רמת ישי,Ramat Yishay,0.07,0.99,0.29,1.71,1.4,1.01,1.03,1.43,0.95,1.17,1.23,1.21,0.99,0.91,0.89,8
190,254,שבלי - אום אל-גנם,SHIBLI-UMM AL-GHANAM,0.09,-0.82,-0.39,-0.44,-0.85,-0.29,-0.42,-0.87,-0.68,-0.58,-0.94,-0.96,-0.5,-0.37,-0.93,3
195,259,שעב,Sha'ab,0.13,-0.94,-0.87,-0.48,-1.07,-2.18,-1.19,-1.06,-1.65,-1.31,-1,-1.44,0.11,0.26,-0.6,2
198,262,שפרעם,SHEFAR'AM,0.13,-0.64,-0.78,-0.07,-0.74,-1.02,-0.7,-0.76,-1.14,-0.9,-0.94,-1.24,0.23,0.48,-0.27,3
206,271,מגאר,Mughar,0.06,-0.99,-0.35,-0.46,-0.87,-1.48,-1.3,-0.79,-1.47,-1.52,-0.96,-0.85,0.38,0.65,-0.44,2
208,274,נהריה,NAHARIYYA,0.14,0.22,0.12,-0.09,0.4,-1.02,0.68,0.26,0.62,-0.1,-0.01,0.03,0.89,0.5,1.56,6
210,276,עפולה,Afula,0.13,-0.28,-0.37,-0.36,-0.03,-1.24,-0.02,-0.5,0.61,0.11,-0.52,-0.23,0.59,0.65,0.89,5
213,279,קרית אתא,QIRYAT ATTA,0.15,-0.17,-0.03,0.02,0.21,-0.88,0.5,-0.1,0.69,0.04,-0.42,-0.2,0.79,0.71,1.23,6
216,282,קרית מוצקין,QIRYAT MOTZKIN,0.14,0.29,-0.09,0.17,0.57,-0.76,0.82,0.26,0.82,-0.07,0.2,0.17,1.09,0.5,1.89,7
8,8,אלונה,ALLONA,0.08,1.27,0.56,1.37,0.81,1.08,0.91,0.92,0.81,1.31,0.95,0.92,0.64,0.43,0.39,8
15,16,אום אל-פחם,UMM AL-FAHM,0.13,-0.98,-0.72,-0.62,-1.13,-1.2,-1.55,-0.92,-2.04,-1.57,-1.06,-1.13,-0.47,-0.28,-0.93,2
18,19,אור עקיבא,OR AQIVA,0.13,-0.28,-0.78,-0.29,-0.09,-1.17,0.37,-0.65,0.73,0.47,-0.75,-0.44,0.65,0.75,0.89,5
35,37,בית ג'ן,BEIT JANN,0.07,-0.95,-0.42,-0.38,-0.66,-0.09,-1.67,-0.61,-0.55,-0.7,-0.81,-0.59,0.73,0.84,-0.1,3
49,52,ג'סר א-זרקא,JISR AZ-ZARQA,0.23,-1.21,-1.91,-1.76,-1.13,0.24,-1.06,-1.3,-0.62,0.01,-1.68,-2.74,-1.41,-0.47,-1.27,2
55,58,ג'ש (גוש חלב),JISH(GUSH HALAV),0.13,-0.24,0.62,0.59,0.14,0,0.68,-0.13,0.4,0.28,0.07,0.02,0.72,0.58,0.56,6
65,68,הגליל העליון,HAGALIL HAELYON,0.07,0.64,-0.78,0.27,0.04,0.99,0.28,0.09,0.45,-0.25,0.69,0.48,0.92,0.21,1.06,6
70,73,זכרון יעקב,ZIKHRON YA'AQOV,0.06,1.48,0.89,0.84,1.46,0.94,0.82,1.78,0.51,0.33,1.55,1.31,0.44,0.21,0.39,8
82,85,חורפיש,Hurfeish,0.07,-0.93,-0.11,-0.49,-0.58,0.47,-0.35,-0.32,-0.75,-1.05,-0.37,-0.06,0.53,0.57,-0.27,4
84,87,חצור הגלילית,HAZOR HAGELILIT,0.05,-0.72,-0.67,-0.55,-0.51,-0.17,-0.49,-0.77,0.54,-0.05,-0.88,-0.16,-0.22,0.26,-0.1,4
86,90,טובא-זנגריה,TUBA-ZANGARIYYE,0.07,-1.03,-0.86,-0.68,-0.93,-0.68,-1.35,-1.18,-0.56,-0.11,-1.38,-1.71,-0.14,0.29,-0.77,2
92,96,יאנוח-ג'ת,YANUH-JAT,0.07,-0.94,-0.62,-0.42,-0.65,0.41,-0.34,-0.68,-0.7,-0.58,-0.75,-0.44,0.21,0.58,-0.44,3
105,110,כסרא-סמיע,KISRA-SUMEI,0.06,-1.06,-0.17,-0.77,-0.74,0.09,-0.59,-0.76,-1.07,-0.7,-0.98,-1.1,-0.03,0.12,-0.77,3
108,113,כפר ורדים,KEFAR WERADIM,0.06,1.85,0.83,1.65,1.8,1,1.12,2,0.88,0.61,1.72,1.53,0.86,0.67,1.39,9
135,195,מעלה יוסף,Ma'ale Yosef,0.15,0.05,0.22,1.29,0.71,0.92,1.19,0.42,0.65,1.41,-0.16,0.4,0.62,0.83,0.39,7
136,196,מעלות-תרשיחא,MA'ALOT-TARSHIHA,0.08,-0.13,-0.7,-0.31,-0.03,-1.87,0.58,-0.4,0.59,0.01,-0.19,-0.1,0.44,0.65,1.06,5
138,198,מרום הגליל,Merom Hagalil,0.06,-0.49,-0.18,0.42,-0.14,0.69,0.13,-0.31,0.46,0.72,-0.29,0.2,-0.34,0.03,-0.27,5
164,226,פסוטה,FASSUTA,0.16,-0.46,-0.16,0.53,-0.09,-0.15,0.21,-0.53,0.25,-0.01,-0.09,0.06,0.92,1.06,0.73,6
169,231,צפת,ZEFAT,0.07,-0.35,-0.86,-1.33,-0.94,-1.17,-1.66,-0.81,-0.02,-0.88,-0.74,-0.56,-1.16,-0.88,-0.77,2
178,240,ראמה,RAME,0.14,-0.61,-0.43,0.28,-0.51,-0.43,-0.71,-0.58,-0.29,-0.81,-0.28,-0.27,0.5,0.71,0.23,4
194,258,שלומי,Shelomi,0.19,-0.31,-0.54,0.17,0.1,-0.64,0.64,-0.36,0.74,0.73,-0.67,-0.18,0.82,0.75,0.89,6
204,268,"בסמ""ה",Basma,0.13,-0.96,-0.79,-0.59,-1.06,-0.38,-0.97,-0.97,-1.56,-1.06,-0.79,-0.87,-0.9,-0.42,-1.1,2
207,272,מעלה עירון,MA'ALE IRON,0.11,-0.98,-0.08,-0.6,-1.07,-0.84,-1.27,-0.85,-2.04,-1.51,-0.87,-1.11,-0.49,-0.18,-0.93,2
